roll_number,ranking,schoolname,address1,county,schooltype,pupils,latitude,longitude,ed_id,ed_english
09401Q,NULL,MONOGAY NATIONAL SCHOOL,Monagea,Limerick,primary,220,52.4176342,-9.0880938,127111,MONAGAY
09414C,NULL,ST LAURENCES N S,Crookstown,Kildare,primary,292,53.0208269,-6.8047559,87004,BALLITORE
09425H,NULL,RINEEN N S,Rineen,Clare,primary,43,52.8907449,-9.3890249,37123,MOY
09432E,NULL,ST JOSEPHS PRIMARY SCHOOL,Murgasty Road,Tipperary,primary,151,52.4793428,-8.162509,217164,TIPPERARY EAST URBAN
09492W,NULL,BALSCADDEN N S,Balscadden,Dublin,primary,220,53.6155292,-6.2317045,267016,BALSCADDEN
09537S,NULL,BALLINADEE N S,Ballinadee,Cork,primary,142,51.7137862,-8.6271343,47015,BALLINADEE
09642P,NULL,BURROW N S,Howth Road,Dublin,primary,215,53.3913143,-6.100234,267095,HOWTH
09660R,NULL,ST FRANCIS NS,Mullanalamphry,Donegal,primary,156,54.6874178,-8.0218055,57036,CLOGHER
09691F,NULL,KILLEENDUFF N S,Killeenduff,Sligo,primary,25,54.2747394,-8.9236917,207042,EASKY EAST
09702H,NULL,ST JAMES N S,Cappagh,Limerick,primary,147,52.5540599,-8.9287608,127114,NANTINAN
09708T,NULL,KNOCKNAGOSHEL NATIONAL SCHOOL,Knocknagoshel,Kerry,primary,57,52.2681291,-9.6997039,NULL,NULL
09748I,NULL,GLENMAQUIN NO 2 N S,Knockbrack,Donegal,primary,23,54.9124843,-7.6905796,57113,MAGHERABOY
09750S,NULL,ST JOSEPHS BOYS N S,Terenure Road East,Dublin,primary,445,53.3096938,-6.2820242,268127,RATHFARNHAM
09760V,NULL,POWERSCOURT N S,Cookstown Road,Wicklow,primary,92,53.1885764,-6.1673643,257036,ENNISKERRY
09782I,NULL,BALLYMACELLIGOTT 1 N S,Flemby,Kerry,primary,26,52.2463945,-9.5980417,77004,ARABELA
09815U,NULL,TULLASLEASE MIXED N S,Tullylease,Cork,primary,21,52.3144969,-8.9394165,47314,TULLYLEASE
09833W,NULL,S N LEITIRGEIS,Lettergesh West,Galway,primary,29,53.5859221,-9.9117513,67192,RINVYLE
09837H,NULL,The Black Valley National School,Dunloe Upper,Kerry,primary,9,51.985706,-9.646616,77072,DUNLOE
09841V,NULL,S N BHAILE AN CHROSAIGH,Ballyduff,Kerry,primary,39,52.4545516,-9.6629052,77015,BALLYDUFF
09872J,NULL,CLOGHOOLA MIXED N S,Cloughoulamore,Cork,primary,19,52.0601318,-9.0647121,47114,COOMLOGANE
09878V,NULL,AGHATUBRID N S,Direen,Kerry,primary,75,51.8911378,-10.2281816,77035,CAHER
09915B,NULL,MARTINSTOWN N S,Martinstown,Limerick,primary,86,52.3974388,-8.4789981,127068,EMLYGRENNAN
09927I,NULL,GRANAGH NATIONAL SCHOOL,Granagh,Limerick,primary,61,52.4593125,-8.7636093,127049,COOLRUS
09932B,NULL,STANHOPE ST CONVENT,Manor Street,Dublin,primary,337,53.3526416,-6.282914,268002,ARRAN QUAY B
09938N,NULL,CURRANES N S,Scoil Ide,Kerry,primary,84,52.2300415,-9.4659594,77044,CASTLEISLAND
09967U,NULL,UPPER NEWTOWN N S,Newtown Upper,Tipperary,primary,55,52.3437928,-7.417962,217042,CARRICKBEG URBAN
10014Q,NULL,COOLICK NATIONAL SCHOOL,Coolick,Kerry,primary,86,52.1249321,-9.5055646,77092,KILCUMMIN
10047I,NULL,MACROOM CONVENT N S,New Road,Cork,primary,311,51.903175,-8.956614,47243,MACROOM URBAN
10049M,NULL,LOUGHGUITANE N S,Dromickbane,Kerry,primary,101,52.0253654,-9.4559396,77053,COOLIES
10050U,NULL,Scoil Bhríde,Scartlea,Kerry,primary,114,52.0392638,-9.4739618,77053,COOLIES
10062E,NULL,CREESLOUGH N S,Creeslough,Donegal,primary,28,54.9558392,-7.7342787,NULL,NULL
