S-ID,Address Line 1,County,Lat (WGS84 GPS),Long (WGS84 GPS)
11583O,Church Road,Dublin,53.44892779999999,-6.1529894999999994
11605V,Rosegreen,Tipperary,52.4679247,-7.831386500000001
11638N,Whitechurch Road,Dublin,53.271935899999995,-6.2822709
11649S,Nun's Cross,Wicklow,53.01787289999999,-6.1258970999999995
11669B,Cloonluane,Galway,53.5951968,-9.957941
11714D,Bansha,Clare,52.44762610000001,-8.0656106
11725I,Behymore,Mayo,54.1163187,-9.095611199999999
11746Q,Strand Road,Kerry,52.258869700000005,-10.0165495
11765U,Killard Road,Clare,52.7314324,-9.528819
11809O,Knockadea,Limerick,52.326807099999996,-8.3309622
11834N,Cloondaff,Mayo,53.93950649999999,-9.440744300000002
11843O,Killybegs,Donegal,54.6386696,-8.4405239
11872V,Greenside South,Tipperary,52.347986999999996,-7.411509
11873A,Rathmichael,Dublin,53.23614620000001,-6.1277496
11893G,Pipers Hill Educational Campus,Kildare,53.195843200000006,-6.672530999999999
11894I,Gilford Road,Dublin,53.32831529999999,-6.2111718
11931L,Derryclogh Lower,Cork,51.6347711,-9.201024900000002
11943S,Ballinlough,Roscommon,53.741250300000004,-8.6355799
11955C,Ardagh,Limerick,52.5278377,-9.0243821
11969N,Crehana,Waterford,52.331588700000005,-7.4038621
11976K,Church Street,Kildare,53.4019522,-6.6678212
11978O,Moylagh,Meath,53.739667700000005,-7.150937
11986N,Whitemill Road,Wexford,52.3298119,-6.4725315000000005
11990E,Coolreagh,Clare,52.88167579999999,-8.606576800000001
11992I,Corkbeg,Cork,51.8234779,-8.2355132
12003V,Castlesampson,Roscommon,53.41274620000001,-8.0971109
12007G,Abbey Road,Waterford,52.2655751,-7.1017349
12012W,Churchyard Lane,Cork,51.873883299999996,-8.4364725
12014D,St Edmundsbury,Dublin,53.36034920000001,-6.435632900000001
12015F,Liscarroll,Cork,52.258984999999996,-8.8063026
12041G,The Park,Cork,51.91601729999999,-8.1687871
12068D,Jim Brunnock Road,Meath,53.7250968,-6.869677900000001
12077E,Illistrin,Donegal,54.995682499999994,-7.731372900000001
12095G,Kill,Galway,13.160024900000002,-61.2248157
12099O,New Inns,Cavan,53.8868399,-7.1453448
12106I,An Chloc Breac,Galway,53.54495,-9.364149900000001
12124K,Rearcross,Tipperary,52.686393200000005,-8.2375229
12136R,Glen,Longford,53.668767,-7.619686
12138V,Brownsgrove,Galway,53.5141156,-8.8565177
12140I,Ballure,Sligo,54.2131456,-8.9916444
12147W,Ardfield,Cork,51.5711456,-8.9104894
12169J,Church Road,Cork,51.79826,-8.28992
12171T,Corballa,Sligo,54.1644096,-9.0770145
12173A,Meelick More,Mayo,53.7033475,-8.9461581
12180U,Convent Road,Tipperary,52.3483708,-7.7180853
12182B,Drogheda Street,Kildare,53.14057220000001,-7.0630630000000005
12203G,Beechwood Park,Cork,51.8879917,-8.447927
12206M,Currabaggan West,Mayo,54.043438,-9.177771
12231L,Pike-of-Rushall,Laois,53.0328123,-7.298793300000001
12259K,Urhan,Cork,51.6951916,-9.963618400000001
12263B,Goggins Hill,Cork,51.823479799999994,-8.5783588
12281D,Walterstown,Cork,51.8668386,-8.236255499999999
12292I,Carrigadrohid,Cork,51.8892904,-8.8561883
12294M,Lusmagh,Offaly,53.1726657,-8.0196366
12312L,Monaghan Road,Cavan,54.075720999999994,-7.0865368
12339I,Inis Meáin,Galway,999.0,999.0
12343W,Shinrone,Offaly,52.9851285,-7.923132700000001
12349L,Sisters of Charity,Tipperary,52.3544542,-7.7052303
12350T,The Neale,Mayo,53.573780000000006,-9.22527
12354E,Ballydwyer East,Kerry,52.25507,-9.57912
12358M,Church Road,Dublin,53.457326699999996,-6.2232707000000005
12368P,Knocknasnaa,Limerick,52.38499829999999,-9.3013897
