id06,ed_english,pop2016,hpindex2016,unemploy,larent,hlprof
19008,CAHERDANIEL,313,0.78035581,6.30171213,2.50050661,36.74121406
19010,CASTLEQUIN,599,-3.00766622,11.1853621,3.29349864,36.56093489
19012,CURRAGHBEG,170,-7.534136,10.34482759,3.22580645,32.94117647
19013,DARRYNANE,179,-1.31044202,10.27755609,1.28340631,35.19553073
19015,EMLAGH,871,-6.95994717,11.05129643,11.91272239,27.32491389
19016,GLANBEHY,1080,-9.34693304,16.59364527,5.87114496,32.31481481
19017,KILLINANE,256,-6.20631337,7.95355903,0.00E+00,35.15625
19018,LICKEEN,102,-8.40839036,12.90322581,0.00E+00,29.41176471
19019,LOUGHCURRANE,311,-5.86125872,17.27596813,2.64495384,36.33440514
19021,MAUM,258,-10.95203028,14.66666667,4.30107527,24.41860465
19022,PORTMAGEE,413,-10.21865842,18.46880334,13.18384391,25.90799031
19023,ST. FINAN'S,164,0.74312096,4.76190476,3.38983051,32.31707317
19024,TEERANEARAGH,280,-5.646217,9.92167012,3.46125872,35.35714286
19025,VALENCIA,657,-5.39821677,15.79321409,8.28720741,39.11719939
19026,BALLINVOHER,560,-4.47682267,14.01992225,11.73363593,35
19027,BALLYDUFF,113,-4.69673807,11.42857143,2.17391304,44.24778761
19028,BALLYNACOURTY,284,-2.24711579,10.09335996,1.77504133,37.67605634
19029,BRANDON,153,-1.12585401,12.82051282,0.00E+00,54.90196078
19030,CASTLEGREGORY,981,-5.13881731,13.63352578,2.53832696,33.53720693
19031,CLOGHANE,232,3.11204596,7.69704433,4.44332355,45.25862069
19032,DEELIS,349,-2.8226372,9.72134572,2.24495548,36.96275072
19033,DINGLE,1623,-0.94887221,10.69880715,14.73993641,32.34750462
19034,DUNQUIN,182,-0.40732974,16.44060524,1.44688645,50
19035,DUNURLIN,467,0.25666618,10.38811563,13.0292301,37.90149893
19036,GLIN,1846,1.10325131,9.73515238,7.21420707,38.51570964
19037,INCH,141,-4.73516123,11.42857143,2.04081633,39.0070922
19038,KILMALKEDAR,481,-6.6759921,16.4681832,3.53302137,32.22453222
19039,KILQUANE,434,-2.14975509,9.17953317,1.81040158,40.32258065
19040,KINARD,345,-2.854437,6.6341804,0.00E+00,27.53623188
19041,LACK,271,-5.4865015,8.61707842,1.02963933,31.73431734
19042,MARHIN,260,-0.3301187,8.29747176,5.21145521,38.84615385
19043,MINARD,368,-4.44220537,8.14489519,4.11210058,30.97826087
19044,STRADBALLY,239,5.59309513,6.25,3.75,55.23012552
19045,VENTRY,396,-3.90198528,14.76030548,3.01605628,34.84848485
19046,ARDEA,178,-4.15968755,8.72947277,1.28410915,36.51685393
19047,BANAWN,226,-0.1704505,8.33333333,1.2195122,42.03539823
19048,CAPPAGH,411,-0.3369916,4.90629909,0.70212026,39.6593674
19049,CASTLECOVE,309,-8.24641251,14.10369566,3.25627986,36.24595469
19050,DAWROS,576,3.36002716,5.44741164,1.00088302,43.22916667
19051,DROMORE,279,-4.01156181,11.00133045,0.9065992,42.29390681
19052,GLANLEE,174,-6.91143776,10,1.63934426,41.37931034
19053,GLANLOUGH,136,-10.67814655,12.19512195,0.00E+00,26.47058824
19054,GLANMORE,232,-7.89701118,7.1317734,6.97618238,34.05172414
19055,GREENANE,241,-3.04414289,10.88418851,1.10426984,36.92946058
19056,KENMARE,3127,-1.89615038,10.22503531,11.5752347,34.63383435
19057,KILGARVAN,667,-2.55251819,5.23543896,5.94549664,37.03148426
