G-ID,Crime,Total (2004 to 2015)
2062,"Attempts or threats to murder, assaults, harassments and related offences",195
2062,Burglary and related offences,253
2062,Controlled drug offences,53
2062,Damage to property and to the environment,257
2062,Dangerous or negligent acts,127
2062,"Fraud, deception and related offences",36
2062,Kidnapping and related offences,2
2062,"Offences against government, justice procedures and organisation of crime",15
2062,Public order and other social code offences,247
2062,"Robbery, extortion and hijacking offences",11
2062,Theft and related offences,459
2062,Weapons and Explosives Offences,12
2063,"Attempts or threats to murder, assaults, harassments and related offences",99
2063,Burglary and related offences,337
2063,Controlled drug offences,38
2063,Damage to property and to the environment,153
2063,Dangerous or negligent acts,74
2063,"Fraud, deception and related offences",12
2063,Kidnapping and related offences,0
2063,"Offences against government, justice procedures and organisation of crime",11
2063,Public order and other social code offences,79
2063,"Robbery, extortion and hijacking offences",5
2063,Theft and related offences,418
2063,Weapons and Explosives Offences,7
2064,"Attempts or threats to murder, assaults, harassments and related offences",480
2064,Burglary and related offences,924
2064,Controlled drug offences,373
2064,Damage to property and to the environment,978
2064,Dangerous or negligent acts,573
2064,"Fraud, deception and related offences",226
2064,Kidnapping and related offences,1
2064,"Offences against government, justice procedures and organisation of crime",297
2064,Public order and other social code offences,1241
2064,"Robbery, extortion and hijacking offences",37
2064,Theft and related offences,1892
2064,Weapons and Explosives Offences,88
2065,"Attempts or threats to murder, assaults, harassments and related offences",435
2065,Burglary and related offences,886
2065,Controlled drug offences,180
2065,Damage to property and to the environment,780
2065,Dangerous or negligent acts,321
2065,"Fraud, deception and related offences",133
2065,Kidnapping and related offences,1
2065,"Offences against government, justice procedures and organisation of crime",24
2065,Public order and other social code offences,498
2065,"Robbery, extortion and hijacking offences",82
2065,Theft and related offences,2182
2065,Weapons and Explosives Offences,48
2067,"Attempts or threats to murder, assaults, harassments and related offences",292
2067,Burglary and related offences,698
2067,Controlled drug offences,85
2067,Damage to property and to the environment,456
2067,Dangerous or negligent acts,276
2067,"Fraud, deception and related offences",79
2067,Kidnapping and related offences,0
2067,"Offences against government, justice procedures and organisation of crime",164
2067,Public order and other social code offences,373
2067,"Robbery, extortion and hijacking offences",31
2067,Theft and related offences,1338
2067,Weapons and Explosives Offences,21
2068,"Attempts or threats to murder, assaults, harassments and related offences",69
2068,Burglary and related offences,192
2068,Controlled drug offences,22
2068,Damage to property and to the environment,153
2068,Dangerous or negligent acts,39
2068,"Fraud, deception and related offences",6
2068,Kidnapping and related offences,0
2068,"Offences against government, justice procedures and organisation of crime",12
2068,Public order and other social code offences,72
2068,"Robbery, extortion and hijacking offences",6
2068,Theft and related offences,327
2068,Weapons and Explosives Offences,7
2069,"Attempts or threats to murder, assaults, harassments and related offences",290
2069,Burglary and related offences,780
2069,Controlled drug offences,106
2069,Damage to property and to the environment,623
2069,Dangerous or negligent acts,167
2069,"Fraud, deception and related offences",82
2069,Kidnapping and related offences,0
2069,"Offences against government, justice procedures and organisation of crime",172
2069,Public order and other social code offences,424
2069,"Robbery, extortion and hijacking offences",36
2069,Theft and related offences,1476
2069,Weapons and Explosives Offences,33
2070,"Attempts or threats to murder, assaults, harassments and related offences",55
2070,Burglary and related offences,276
2070,Controlled drug offences,49
2070,Damage to property and to the environment,168
2070,Dangerous or negligent acts,126
2070,"Fraud, deception and related offences",28
2070,Kidnapping and related offences,0
2070,"Offences against government, justice procedures and organisation of crime",12
2070,Public order and other social code offences,88
2070,"Robbery, extortion and hijacking offences",10
2070,Theft and related offences,394
2070,Weapons and Explosives Offences,6
