P-ID,BER_ID,BER_Rating,BER_Energy_PI_(kWh/sqm/yr)
4465387,113487979.0,C1,171.15
4467287,,D2,
4433865,10348290.0,C3,212.87
4444218,,B2,
4467626,102633799.0,C2,179.39
4411373,106220791.0,,
4455476,113291330.0,D2,262.7
4446943,111970489.0,C3,211.67
4466414,113514566.0,B3,147.86
4273784,104150792.0,C3,214.3
4451657,104129036.0,C1,163.38
4459618,113248561.0,C2,
4456125,,B1,
4465425,,C2,
4368194,,C1,
4448892,,F,
4434448,113104855.0,G,522.07
4435628,,C3,
4408571,112947197.0,F,425.39
4365153,110579976.0,B3,146.94
4468937,104108204.0,C3,
4416588,,G,
4462609,106010895.0,,
4415672,,B3,
4463781,113110464.0,E2,358.43
4460975,,D2,
4466992,113153563.0,C1,163.71
4421810,113509160.0,C3,206.28
4450775,113232086.0,D2,
4463876,,F,
4442787,,C3,
4448939,113209969.0,F,419.34
4448200,105991392.0,C1,164.06
4465925,101493625.0,C2,189.17
4447493,,B2,
4423360,112888698.0,E1,
4458969,,E1,
4434007,,D1,
4449069,,D2,
4465574,,C2,
4456559,112501135.0,D1,251.72
4460460,,G,
4455337,,D1,
4458204,111992343.0,,
4466986,113504955.0,C3,215.19
4462233,113461768.0,C3,200.91
4438767,113158323.0,C1,
4445336,,C2,
4440230,113127310.0,E2,
4402394,105156996.0,B3,149.54
4455402,113294581.0,D1,225.06
4429742,113055834.0,F,429.54
4462488,108177312.0,B3,149.96
4461066,,C1,
4415070,112895883.0,F,431.34
4460350,,B3,
4463405,,E2,349.28
4467656,,D1,
4458377,109203547.0,B3,148.55
4453452,,B3,
4427256,111591772.0,A3,57.87
4428927,,C2,
4464961,104509294.0,D2,260.46
4385699,109777292.0,C3,208.07
4431312,,G,
4468873,,A3,
4448993,113203525.0,C2,183.43
4333618,,C3,
4449402,,C1,
4464946,,B3,
4464064,113488951.0,D2,289.72
4468553,113546568.0,D2,277.4
4463393,113437313.0,G,535.41
4430336,109133173.0,C3,215.47
4465305,,D2,
4462185,110260874.0,D2,260.81
4456843,,G,
4436004,,E2,
4466547,101926178.0,F,416.77
4441641,113130116.0,D2,262.87
4420878,112988845.0,D2,261.56
4461019,,D1,
4468707,105475420.0,D1,244.86
4446604,,E1,
4454509,113056279.0,F,394.91
4446317,,C1,174 
4442883,,B3,
4461628,,C3,
4450781,107039430.0,D2,288.36
4463759,,C3,
4443200,113129340.0,E1,327.83
4438720,113129340.0,E1,327.83
4440128,113438683.0,D1,254.33
4467593,,F,
4450777,102483468.0,C1,158.56
4462002,103716387.0,C2,188.62
4420130,113218754.0,G,466.04
4452143,106363112.0,D2,
4465560,,E1,
4446584,,C3,
4462795,104769161.0,G,
4455962,100089523.0,C2,
4461239,113457683.0,D1,254.51
4468356,108586009.0,C1,168.55
4448287,113206163.0,C1,172.95
4467276,113526776.0,F,425.85
4463361,105327506.0,C1,168.23
4453992,113289383.0,D1,230.75
4465812,,B3,
4468245,113044499.0,C3,
4414610,,E2,
4451995,105164900.0,C1,169.49
4292680,,E1,
4415033,112927589.0,C3,201.82
4296124,111539987.0,C1,174.36
4465951,,C1,
4436655,107259533.0,B2,100.92
4091363,105651988.0,F,390.05
4466607,,C2,
4436961,100041771.0,C1,158.88
4455439,109915561.0,C2,
4464788,,F,
4430223,107512675.0,D1,
4468570,109038513.0,C2,182.7
4454541,113279624.0,C1,152.49
4464323,,E2,
4446433,104312665.0,C2,184.1
4467048,106083538.0,B3,147.93
4458893,102294626.0,E1,305.18
4466659,,Ex,
4445922,102232717.0,C3,211.93
4456181,113304398.0,E1,319.52
4468399,,Ex,
4443986,104922059.0,G,481.71
4404206,104932793.0,D2,288.25
4463616,106901093.0,D1,237.66
4453830,100796663.0,B3,134.88
4461014,,D1,
4452729,,E1,
4468506,101241453.0,C3,39.79
4458767,113261077.0,D1,259.23
4462722,105195515.0,B3,127.88
4461582,,B1,
4460034,,G,
4456992,113413694.0,E2,364.47
4461467,,C1,
4466971,,E2,
4153283,,A3,
4417251,103381380.0,D2,
4465061,,E1,
4451993,,Ex,
4448662,101565505.0,C2,196.48
4465590,106506405.0,C1,168.74
4465814,106915572.0,10,
4443131,,C2,190.25
4463207,10765432.0,B1,
4455043,113274591.0,C2,178.44
