G-ID,"Ann.Mean_Crime_0","Total_Crime_0","Ann.Mean_Crime_1","Total_Crime_1","Ann.Mean_Crime_2","Total_Crime_2","Ann.Mean_Crime_3","Total_Crime_3","Ann.Mean_Crime_4","Total_Crime_4","Ann.Mean_Crime_5","Total_Crime_5","Ann.Mean_Crime_6","Total_Crime_6","Ann.Mean_Crime_7","Total_Crime_7","Ann.Mean_Crime_8","Total_Crime_8","Ann.Mean_Crime_9","Total_Crime_9","Ann.Mean_Crime_10","Total_Crime_10","Ann.Mean_Crime_11","Total_Crime_11"
20167,5.08,61,15.33,184,1.67,20,6.25,75,3.33,40,0.17,2,0.0,0,0.0,0,2.17,26,0.25,3,20.17,242,0.33,4
20168,5.83,70,17.17,206,0.83,10,11.0,132,4.75,57,0.83,10,0.0,0,0.5,6,3.08,37,0.75,9,16.83,202,0.5,6
20169,4.17,50,10.83,130,3.33,40,7.08,85,2.08,25,0.92,11,0.08,1,0.58,7,5.0,60,1.08,13,12.67,152,0.5,6
20170,3.75,45,11.33,136,3.5,42,12.0,144,2.58,31,0.5,6,0.08,1,0.42,5,4.58,55,0.17,2,9.0,108,0.58,7
20172,95.58,1147,171.17,2054,145.25,1743,247.58,2971,108.83,1306,39.83,478,0.67,8,56.17,674,385.17,4622,6.92,83,456.25,5475,18.0,216
20173,6.92,83,19.75,237,5.75,69,23.92,287,11.5,138,2.75,33,0.08,1,1.67,20,13.83,166,0.17,2,29.17,350,0.67,8
20175,7.08,85,19.67,236,4.58,55,17.67,212,8.17,98,2.08,25,0.0,0,2.42,29,8.25,99,0.33,4,40.5,486,0.83,10
20176,10.67,128,24.5,294,8.75,105,22.92,275,8.83,106,0.75,9,0.08,1,2.83,34,6.92,83,0.17,2,32.08,385,1.08,13
20177,3.42,41,10.0,120,3.25,39,5.67,68,4.08,49,1.0,12,0.0,0,0.67,8,2.25,27,0.0,0,8.58,103,0.08,1
20178,10.08,121,25.83,310,4.17,50,17.42,209,5.92,71,1.83,22,0.08,1,1.42,17,9.92,119,0.42,5,29.17,350,1.33,16
20179,11.92,143,25.83,310,8.25,99,22.42,269,8.33,100,6.42,77,0.08,1,5.58,67,15.5,186,0.08,1,34.83,418,1.17,14
20180,50.75,609,105.75,1269,40.0,480,90.08,1081,71.25,855,14.58,175,0.33,4,31.08,373,185.0,2220,3.08,37,201.92,2423,9.08,109
20181,19.58,235,50.58,607,3.58,43,31.5,378,13.42,161,3.92,47,0.08,1,2.0,24,27.58,331,0.75,9,65.5,786,2.0,24
20182,17.75,213,65.83,790,12.17,146,40.25,483,20.5,246,0.92,11,0.08,1,2.67,32,29.58,355,1.83,22,77.42,929,2.83,34
20183,76.25,915,100.67,1208,97.33,1168,130.17,1562,48.17,578,16.25,195,0.5,6,61.33,736,186.08,2233,6.0,72,240.25,2883,13.67,164
20184,7.42,89,22.42,269,4.25,51,13.33,160,4.83,58,1.33,16,0.08,1,0.33,4,7.33,88,0.58,7,24.17,290,1.25,15
20185,73.42,881,106.75,1281,60.5,726,151.67,1820,66.92,803,23.25,279,0.08,1,19.67,236,209.0,2508,3.25,39,228.83,2746,7.5,90
