P-ID,Lat_(WGS84_GPS),Long_(WGS84_GPS),Address,Eircode,Routing_Key
4416563,53.6135314,-6.210367," 5 hastings green, balbriggan, county dublin",K32 NY74,K32
4421718,53.76362420000001,-8.7741606," 5 hazelhill downs, ballyhaunis, mayo",F35HN99,F35
4443285,53.3517123,-6.2870254," 5 ivar street, stoneybatter, dublin 7",D07C3C8,D07
4439470,53.4294745,-6.587198299999999," 5 kilcloon lawns, maynooth, co. kildare",A85 XP78,A85
4455411,54.11648639999999,-6.7488540000000015," 5 killycard manor, castleblayney, monaghan",A75F763,A75
4465142,53.1122869,-6.1070799," 5 kilpedder grove, kilpedder, co wicklow",,A67
4468885,54.2699901,-8.598940299999999," 5 knocknarea view, strandhill, co. sligo",,F91
4453337,52.832609,-6.9077286," 5 lacken rise, tullow road, carlow town, carlow",R93 Y4E6,R93
4462343,53.29578189999999,-6.259299," 5 le bret terrace, rathfarnham,   dublin 14",D14 R283,D14
4427121,52.2637419,-7.085443400000001," 5 leaca ard, ferrybank, waterford",X91X9CR,X91
4459648,53.3052579,-6.3288007," 5 limekiln manor, limekiln road, walkinstown, dublin 12",,D12
4374792,53.5222212,-6.1069613," 5 linn bán, rush, dublin",K56R602,K56
4466556,53.67185110000001,-8.9530998," 5 liosamble, ballindine, mayo",F12 AX83,F12
4465398,53.46314049999999,-6.239990199999999," 5 lioscian, rathbeale road, swords, county dublin",,K67
4466160,53.8592062,-8.6367412," 5 lisacul park, lisacul, roscommon",F45 DA58,F45
4448397,53.27552550000001,-7.4933852," 5 lois na coille, ballykilmurray, tullamore, offaly",R35YF59,R35
4435399,53.340004,-6.262272900000001," 5 loretto road,maryland, south city centre,   dublin 8",,
4466444,53.3213252,-6.2543563," 5 lower beechwood avenue, ranelagh, dublin 6",,D06
4341786,52.9307744,-6.231851799999999," 5 main street, rathdrum, wicklow",,A67
