,School,FullAddress,Latitude,Longitude
3029,"Scoil Aonghusa Community National School, Kingsfort Avenue, Castlepark Village","Castlepark Dr, Carrigoon Beg, Mallow, Co. Cork, Ireland",52.1395565,-8.6287757
3030,"Shellybanks Educate Together National School, Roslyn Park, Seafort Avenue","Seafort Ave, Dublin 4, D04 F8P5, Ireland",53.3330261,-6.2143507
3031,"Scoil Chliodhna Community National School, C/O Carrigtwohill GAA Club, Carrigtwohill","Carrigtwohill GAA, Carrigtohill, Co. Cork, T45 P282, Ireland",51.90712329999999,-8.2644921
3032,"St. Senan's National School, Kilmacow, Co. Kilkenny","Dangan, Kilmacow, Co. Kilkenny, Ireland",52.31861439999999,-7.1746853
3033,"Trim Educate Together National School, The Maudlins, Trim","The Maudlins, Trim, Co. Meath, Ireland",53.5501166,-6.7851211
3034,"Malahide / Portmarnock Educate Together National School, Malahide Road, Dublin 17","Malahide Rd, Kinsealy, Dublin 17, Ireland",53.422541,-6.175853999999999
3035,"Tramore Educate Together National School, Pond Road, Tramore","Tramore Health Centre, Pond Rd, Tramore East, Tramore, Co. Waterford, Ireland",52.1639339,-7.149938499999999
3036,"Kilmurry McMahon National School, Kilmurry McMahon, Kilrush","Kilmurry East, Kilmurry McMahon, Co. Clare, Ireland",52.65228,-9.29412
3037,"Annagh Hill NS, Ballyglunin, Tuam","Parkgarve, Co. Galway, Ireland",53.4100451,-8.8159356
3038,"Assumption Junior School, Sisters of Charity, Walkinstown","12 Kilnamanagh Rd, Walkinstown, Dublin 12, Ireland",53.322537,-6.332842299999999
3039,"Scoil Naomh Cualán, Borrisoleigh, Thurles","Borrisoleigh, Mien, Thurles, Co. Tipperary, Ireland",52.8551064,-7.8819594
3040,"Broadford & Kilbane National School, Broadford, Co. Clare","Broadford, Isle of Skye IV49, UK",57.24139169999999,-5.9096592
3041,"Broombridge Educate Together National School, Bannow Road, Cabra","275-335 Bannow Rd, Cabra West, Dublin 7, D07 E2P1, Ireland",53.37082669999999,-6.2942275
3042,"Tuam Educate Together National School, Dublin Road, Tuam","Parkmore, Tuam, Co. Galway, Ireland",53.5119358,-8.8447426
3043,"Castlebar Educate Together National School, Marsh House, Newtown","Marsh House, Newtown, Garryduff, Castlebar, Co. Mayo, Ireland",53.85696549999999,-9.3018627
3044,"New Ross Educate Together National School, Barrett's Park, New Ross","Barrett's Park, Barrettspark, New Ross, Co. Wexford, Y34 AY71, Ireland",52.4051599,-6.9354666
3045,"Le Chéile National School, Roxboro Road, Limerick","Limerick, Ireland",52.64986949999999,-8.614006800000002
3046,"Thomond Primary School, Moylish Road, Ballynanty","BALLYNANTY RD, Limerick, V94 C2R7, Ireland",52.6773517,-8.6414236
